Simulation,variable_id,frequency,institution_id,source_id,tracking_id,references,contact
CMIP6_input4MIPs_emissions_CMIP_CEDS-2017-08-30_gn,CO2_em_AIR_anthro,mon,PNNL-JGCRI,CEDS-2017-08-30,"hdl:21.14100/88fcf3a3-563c-4d05-8ec9-9276da99fd07, hdl:21.14100/fb34b36c-8771-48fc-a08d-116dc691556b, hdl:21.14100/4dde365f-8025-4d76-b1ff-da0f29c5349a, hdl:21.14100/6af81ed6-05e5-441d-95d7-2d40ed177cce ","Hoesly et al., 2017. doi:10.5194/gmd-2017-43",Steven J. Smith (ssmith@pnnl.gov)
,CO2_em_anthro,mon,PNNL-JGCRI,CEDS-2017-05-18,"hdl:21.14100/4ff5c021-3f73-4742-b042-e564b7bc0b3c, hdl:21.14100/89da19a0-cbb3-4b34-92d8-1282e96cdd3d, hdl:21.14100/ae8efb62-2b2e-4c51-a6fd-ff051392ab04, hdl:21.14100/c818677c-97ab-462e-bf40-d58aeccf012a, hdl:21.14100/9e4551cc-0f33-4709-a758-2c5e8b1c2603 ","Hoesly et al., 2017. doi:10.5194/gmd-2017-43",Steven J. Smith (ssmith@pnnl.gov)
CMIP6_input4MIPs_emissions_ScenarioMIP_IAMC-AIM-ssp370-1-1_gn,CO2_em_AIR_anthro,mon,IAMC,IAMC-AIM-ssp370-1-1,hdl:21.14100/39f340e4-f901-4cb7-9bd5-e83b77e89b39,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,Steven J. Smith (ssmith@pnnl.gov)
,CO2_em_anthro,mon,IAMC,IAMC-AIM-ssp370-1-1,hdl:21.14100/6716ca72-9888-49d2-ad4e-10f95fc084d7,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,Steven J. Smith (ssmith@pnnl.gov)
input4MIPs_emissions_ScenarioMIP_IAMC-IMAGE-ssp119-1-1_gn,CO2_em_AIR_anthro,mon,IAMC,IAMC-IMAGE-ssp119-1-1,hdl:21.14100/5c706a86-08a9-4cd4-8cf8-749e75930f42,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,Steven J. Smith (ssmith@pnnl.gov)
,CO2_em_anthro,mon,IAMC,IAMC-IMAGE-ssp119-1-1,hdl:21.14100/8fe157be-8ca2-4222-b415-6b8d1130b3f3,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,Steven J. Smith (ssmith@pnnl.gov)
input4MIPs_emissions_ScenarioMIP_IAMC-IMAGE-ssp126-1-1_gn,CO2_em_AIR_anthro,mon,IAMC,IAMC-IMAGE-ssp126-1-1,hdl:21.14100/810247c8-bae1-4b6b-ab56-44348fdb8afa,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,Steven J. Smith (ssmith@pnnl.gov)
,CO2_em_anthro,mon,IAMC,IAMC-IMAGE-ssp126-1-1,hdl:21.14100/248ce8df-3da5-4de8-a25c-5a7b4cd640e1,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,Steven J. Smith (ssmith@pnnl.gov)
input4MIPs_emissions_ScenarioMIP_IAMC-MESSAGE-GLOBIOM-ssp245-1-1_gn,CO2_em_AIR_anthro,mon,IAMC,IAMC-MESSAGE-GLOBIOM-ssp245-1-1,hdl:21.14100/6a4f6f40-a19b-44a6-8ea5-ecdfc6d9d241,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,Steven J. Smith (ssmith@pnnl.gov)
", ",CO2_em_anthro,mon,IAMC,IAMC-MESSAGE-GLOBIOM-ssp245-1-1,hdl:21.14100/a25ff715-7e54-423b-9e35-abffd6dc4fb3,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,
input4MIPs_emissions_ScenarioMIP_IAMC-REMIND-MAGPIE-ssp585-1-1_gn,CO2_em_AIR_anthro,mon,IAMC,IAMC-REMIND-MAGPIE-ssp585-1-1,hdl:21.14100/5c3ff899-1a38-455a-8ab6-e3c633e317c2,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,
,CO2_em_anthro,mon,IAMC,IAMC-REMIND-MAGPIE-ssp585-1-1,hdl:21.14100/f74a6803-e4e3-4674-98fc-09af6645ea27,See: https://secure.iiasa.ac.at/web-apps/ene/SspDb/ for references,
